Czas;Kierunek;Przewoznik;Rejs;;Lotnisko wylotowe
23:25;Manchester;;RK 4095;;"GDN"
05:40;Warszawa;LOT;LO3828;;"GDN"
05:45;Barcelona el prat;RYANAIR;FR 334;;"GDN"
05:45;Londyn stansted;RYANAIR;FR 544;;"GDN"
05:45;Cork;RYANAIR;FR 8782;;"GDN"
05:45;Liverpool;WIZZ AIR;W6 1611;;"GDN"
05:50;Alicante;RYANAIR;FR 1425;;"GDN"
06:00;Monachium;LUFTHANSA;LH 1647;;"GDN"
06:00;Kopenhaga;SAS;SK 1758;;"GDN"
06:00;Oslo torp;WIZZ AIR;W6 1743;;"GDN"
06:10;Sztokholm arlanda;WIZZ AIR;W6 1731;;"GDN"
06:20;Amsterdam;KLM;KL 1302;;"GDN"
06:20;Londyn luton;WIZZ AIR;W6 1601;;"GDN"
06:25;Frankfurt;LUFTHANSA;LH 1383;;"GDN"
06:40;Eindhoven;WIZZ AIR;W6 1641;;"GDN"
07:10;Aberdeen;WIZZ AIR;W6 1617;;"GDN"
07:15;Dortmund;WIZZ AIR;W6 1661;;"GDN"
07:20;Goteborg;RYANAIR;FR 6095;;"GDN"
07:35;Manchester;RYANAIR;FR 4095;;"GDN"
08:45;Warszawa;LOT;LO3832;;"GDN"
09:35;Leeds;RYANAIR;FR 1504;;"GDN"
10:00;Paryż beauvais;WIZZ AIR;W6 1631;;"GDN"
10:05;Turku;WIZZ AIR;W6 1751;;"GDN"
10:10;Kopenhaga;SAS;SK 756;;"GDN"
11:15;Bergen;WIZZ AIR;W6 1745;;"GDN"
11:25;Malta;RYANAIR;FR 5208;;"GDN"
11:50;Amsterdam;KLM;KL 1304;;"GDN"
12:00;Warszawa;LOT;LO3836;;"GDN"
12:25;Kopenhaga;WIZZ AIR;W6 1741;;"GDN"
12:35;Sztokholm arlanda;RYANAIR;FR 4617;;"GDN"
12:45;Malaga;RYANAIR;FR 9918;;"GDN"
13:00;Antalia;;ENT4573;;"GDN"
13:00;Sztokholm arlanda;WIZZ AIR;W6 1733;;"GDN"
13:05;Oslo gardermoen;Norwegian;DY 1053;;"GDN"
13:10;Monachium;LUFTHANSA;LH 1643;;"GDN"
13:35;Aarhus;RYANAIR;FR 4970;;"GDN"
13:45;Praga;RYANAIR;FR 1920;;"GDN"
13:55;Paryż beauvais;RYANAIR;FR 8943;;"GDN"
14:20;Amsterdam;KLM;KL 1306;;"GDN"
14:25;Frankfurt;LUFTHANSA;LH 1379;;"GDN"
14:30;Oslo torp;RYANAIR;FR 3277;;"GDN"
14:35;Stavanger;WIZZ AIR;W6 1747;;"GDN"
14:50;Warszawa;LOT;LO3838;;"GDN"
14:50;Zurych;;LX 1381;;"GDN"
15:40;Kopenhaga;SAS;SK 760;;"GDN"