Czas;Kierunek;Rejs;;Lotnisko wylotowe
05:30;BARCELONA (BCN);W6 2047;;"KRK"
05:30;NICEA (NCE);W6 2071;;"KRK"
05:40;WARSZAWA (WAW);LO 3910;;"KRK"
05:45;DUBROWNIK (DBV);FR 5917;;"KRK"
05:55;BARCELONA (BCN);FR 3036;;"KRK"
06:00;LONDYN STANSTED (STN);FR 2435;;"KRK"
06:00;MONACHIUM (MUC);LH 1627;;"KRK"
06:00;LONDYN LUTON (LTN);W6 2001;;"KRK"
06:00;STAVANGER (SVG);W6 2043;;"KRK"
06:10;FRANKFURT (FRA);LH 1371;;"KRK"
06:15;OSLO TORP (TRF);FR 6216;;"KRK"
06:20;SHANNON (SNN);FR 3326;;"KRK"
06:35;OLBIA (OLB);FR 6734;;"KRK"
06:35;AMSTERDAM (AMS);KL 1322;;"KRK"
06:45;WIEDEŃ (VIE);OS 600;;"KRK"
06:55;ATENY (ATH);FR 2611;;"KRK"
07:00;GDAŃSK (GDN);FR 237;;"KRK"
07:00;GÖTEBORG LANDVETTER (GOT);FR 4010;;"KRK"
07:20;PRAGA (PRG);FR 4070;;"KRK"
07:20;ANKONA (AOI);FR 4490;;"KRK"
07:45;KOPENHAGA (CPH);FR 2724;;"KRK"
07:55;ANTALIA (AYT);XQ 433;;"KRK"
08:15;MEDIOLAN BERGAMO (BGY);FR 3505;;"KRK"
08:15;SZTOKHOLM ARLANDA (ARN);FR 4627;;"KRK"
08:50;WARSZAWA (WAW);LO 3904;;"KRK"
08:55;HELSINKI (HEL);AY 1162;;"KRK"
09:05;EINDHOVEN (EIN);FR 042;;"KRK"
09:10;SZTOKHOLM ARLANDA (ARN);D8 3806;;"KRK"
09:10;BELGRAD (BEG);JU 157;;"KRK"
09:25;ZURYCH (ZRH);LX 1371;;"KRK"
09:35;BRUKSELA CHARLEROI (CRL);FR 5533;;"KRK"
09:45;PARYŻ (CDG);EJU 4668;;"KRK"
09:55;PERUGIA (PEG);FR 2380;;"KRK"
10:10;KOPENHAGA (CPH);SK 1736;;"KRK"
10:15;EDYNBURG (EDI);FR 6625;;"KRK"
10:15;BARCELONA GIRONA (GRO);FR 8672;;"KRK"
10:20;BOURNEMOUTH (BOH);FR 5524;;"KRK"
10:25;CAGLIARI (CAG);FR 4426;;"KRK"
10:30;EDYNBURG (EDI);EZY 3314;;"KRK"
10:50;TEL AVIV (TLV);LY 5120;;"KRK"
11:15;BARI (BRI);FR 2722;;"KRK"
11:15;FRANKFURT (FRA);LH 1363;;"KRK"
11:20;FARO (FAO);FR 2839;;"KRK"
11:30;PALERMO (PMO);FR 6232;;"KRK"
11:30;PODGORICA (TGD);FR 7933;;"KRK"
11:35;ABU ZABI (AUH);W6 2093;;"KRK"
11:40;MALTA (MLA);FR 7115;;"KRK"
11:50;AMSTERDAM (AMS);KL 1324;;"KRK"
12:00;BURGAS (BOJ);FR 3716;;"KRK"
12:15;WARSZAWA (WAW);LO 3908;;"KRK"
12:20;BRUKSELA (BRU);SN 2548;;"KRK"
12:25;HELSINKI (HEL);AY 1166;;"KRK"
12:25;OSLO GARDERMOEN (OSL);DY 1041;;"KRK"
12:30;STUTTGART (STR);EW 2735;;"KRK"
12:30;MANCHESTER (MAN);EZY 2264;;"KRK"
12:40;PARYŻ BEAUVAIS (BVA);FR 3435;;"KRK"
12:45;ZADAR (ZAD);FR 7273;;"KRK"
12:45;MEDIOLAN MALPENSA (MXP);W6 2067;;"KRK"
12:50;BIRMINGHAM (BHX);FR 1466;;"KRK"
12:50;DUBAJ (DXB);FZ 1788;;"KRK"
13:00;BERGEN (BGO);DY 1029;;"KRK"
13:00;CHANIA (CHQ);FR 3051;;"KRK"
13:00;LARNAKA  (LCA);W6 2051;;"KRK"
13:05;OSLO GARDERMOEN (OSL);W6 2033;;"KRK"
13:25;MONACHIUM (MUC);LH 1623;;"KRK"
13:40;MEDIOLAN MALPENSA (MXP);FR 4462;;"KRK"
13:45;CATANIA (CTA);FR 2726;;"KRK"
13:55;BOLONIA (BLQ);FR 3799;;"KRK"
14:00;KOPENHAGA (CPH);D8 3563;;"KRK"
14:00;AMSTERDAM (AMS);KL 1326;;"KRK"
14:05;TIRANA (TIA);FR 8402;;"KRK"
14:05;FRANKFURT (FRA);LH 1367;;"KRK"
14:10;BRISTOL (BRS);EZY 2938;;"KRK"
14:35;WIEDEŃ (VIE);OS 598;;"KRK"
14:45;BRISTOL (BRS);FR 5519;;"KRK"
14:50;PORTO (OPO);FR 3047;;"KRK"
14:50;LUKSEMBURG (LUX);LG 5742;;"KRK"
14:55;RYGA (RIX);FR 5428;;"KRK"
14:55;WARSZAWA (WAW);LO 3906;;"KRK"
15:15;DUSSELDORF (DUS);EW 9733;;"KRK"
15:35;LONDYN LUTON (LTN);FR 1812;;"KRK"
15:40;ANKARA (ESB);PC 1748;;"KRK"
16:00;TEL AVIV (TLV);FR 345;;"KRK"
16:10;MARSYLIA (MRS);FR 5412;;"KRK"
16:25;CASTELLON (CDT);FR 9017;;"KRK"
16:40;MONACHIUM (MUC);EN 8343;;"KRK"
16:40;RODOS (RHO);FR 7040;;"KRK"
16:55;MANCHESTER (MAN);FR 2142;;"KRK"
16:55;WIEDEŃ (VIE);FR 946;;"KRK"
17:00;SEWILLA (SVQ);FR 1313;;"KRK"
17:00;PARYŻ ORLY (ORY);LO 337;;"KRK"
17:00;OLSZTYN-MAZURY (SZY);LO 3507;;"KRK"
17:05;ALICANTE (ALC);FR 6355;;"KRK"
17:55;AMSTERDAM (AMS);KL 1328;;"KRK"
18:05;LONDYN GATWICK (LGW);W6 2009;;"KRK"
18:10;GLASGOW (GLA);FR 4203;;"KRK"
18:25;WARSZAWA (WAW);LO 3924;;"KRK"
18:30;BIRMINGHAM (BHX);FR 7711;;"KRK"
18:35;LONDYN STANSTED (STN);FR 2433;;"KRK"
18:40;RZYM FIUMICINO (FCO);W6 2061;;"KRK"
18:45;BOURNEMOUTH (BOH);FR 5724;;"KRK"
18:55;HELSINKI (HEL);AY 1164;;"KRK"
19:00;AMSTERDAM (AMS);KL 1330;;"KRK"
19:05;RZYM CIAMPINO (CIA);FR 083;;"KRK"
19:15;WENECJA TREVISO (TSF);FR 3037;;"KRK"
19:20;FRANKFURT (FRA);LH 1369;;"KRK"
19:25;KOPENHAGA (CPH);FR 2763;;"KRK"
19:45;LONDYN HEATHROW (LHR);BA 873;;"KRK"
19:45;ZURYCH (ZRH);LX 1375;;"KRK"
19:50;LEEDS BRADFORD (LBA);FR 2333;;"KRK"
20:15;AMSTERDAM (AMS);EJU 7962;;"KRK"
20:15;STAMBUŁ (IST);TK 1274;;"KRK"
20:20;PARYŻ (CDG);EJU 4670;;"KRK"
20:40;MADRYT (MAD);FR 5357;;"KRK"
20:45;MEDIOLAN BERGAMO (BGY);FR 889;;"KRK"
20:45;BIRMINGHAM (BHX);LS 1252;;"KRK"
20:50;NEWCASTLE (NCL);LS 1902;;"KRK"
20:50;LEEDS BRADFORD (LBA);LS 296;;"KRK"
20:50;MANCHESTER (MAN);LS 950;;"KRK"
21:30;OSLO GARDERMOEN (OSL);DY 1043;;"KRK"
21:30;WARSZAWA (WAW);LO 3922;;"KRK"
21:35;WILNO (VNO);BT 920;;"KRK"
21:35;DUBLIN (DUB);FR 1902;;"KRK"
21:45;GLASGOW (GLA);LS 114;;"KRK"
21:50;LONDYN GATWICK (LGW);EZY 8824;;"KRK"
22:00;LONDYN STANSTED (STN);FR 2363;;"KRK"
23:50;SHARJAH (SHJ);G9 966;;"KRK"
05:30;BARCELONA (BCN);W6 2047;;"KRK"
05:40;WARSZAWA (WAW);LO 3910;;"KRK"
05:40;TEL AVIV (TLV);W6 2097;;"KRK"
05:50;PALMA DE MALLORCA (PMI);FR 4512;;"KRK"
05:50;OSLO TORP (TRF);FR 6216;;"KRK"
05:55;MANCHESTER (MAN);FR 2142;;"KRK"
05:55;LIZBONA (LIS);FR 4023;;"KRK"
06:00;FUERTEVENTURA (FUE);FR 9837;;"KRK"
06:00;MONACHIUM (MUC);LH 1627;;"KRK"
06:00;LONDYN LUTON (LTN);W6 2001;;"KRK"
06:00;WALENCJA (VLC);W6 2079;;"KRK"
06:05;BARCELONA (BCN);FR 3036;;"KRK"
06:10;PERUGIA (PEG);FR 2380;;"KRK"
06:10;FRANKFURT (FRA);LH 1371;;"KRK"
06:35;AMSTERDAM (AMS);KL 1322;;"KRK"
06:40;MEDIOLAN BERGAMO (BGY);FR 3505;;"KRK"
06:45;WIEDEŃ (VIE);OS 600;;"KRK"
07:00;STAMBUŁ (IST);LO 139;;"KRK"
07:10;PARYŻ BEAUVAIS (BVA);FR 3435;;"KRK"
07:15;ATENY (ATH);FR 2611;;"KRK"
07:45;PAFOS (PFO);FR 5087;;"KRK"
08:50;LEEDS BRADFORD (LBA);FR 2333;;"KRK"
08:50;WARSZAWA (WAW);LO 3904;;"KRK"
08:55;HELSINKI (HEL);AY 1162;;"KRK"
09:40;STAMBUŁ (IST);TK 1272;;"KRK"
09:45;BRISTOL (BRS);FR 5519;;"KRK"
10:10;EDYNBURG (EDI);FR 6625;;"KRK"
10:10;KOPENHAGA (CPH);SK 1736;;"KRK"
10:20;NEWCASTLE (NCL);FR 451;;"KRK"
10:50;KOPENHAGA (CPH);FR 2724;;"KRK"
10:50;PRAGA (PRG);FR 4070;;"KRK"
10:55;NEAPOL (NAP);FR 4046;;"KRK"
11:00;BELFAST (BFS);EZY 3054;;"KRK"
11:10;MALAGA (AGP);FR 2589;;"KRK"
11:20;RZYM CIAMPINO (CIA);FR 1469;;"KRK"
11:30;FRANKFURT (FRA);LH 1363;;"KRK"
11:35;ALICANTE (ALC);FR 6355;;"KRK"
11:50;AMSTERDAM (AMS);KL 1324;;"KRK"
12:10;MARRAKESZ (RAK);FR 7102;;"KRK"
12:15;WARSZAWA (WAW);LO 3908;;"KRK"
12:20;BARI (BRI);FR 2722;;"KRK"
12:20;WENECJA TREVISO (TSF);FR 3037;;"KRK"
12:25;OSLO GARDERMOEN (OSL);DY 1041;;"KRK"
12:30;HELSINKI (HEL);AY 1166;;"KRK"
12:45;PRAGA (PRG);FR 4077;;"KRK"
12:50;DUBAJ (DXB);FZ 1788;;"KRK"
12:50;EINDHOVEN (EIN);W6 2075;;"KRK"
13:05;STAVANGER (SVG);DY 1037;;"KRK"
13:05;GÖTEBORG LANDVETTER (GOT);FR 4010;;"KRK"
13:05;OSLO GARDERMOEN (OSL);W6 2033;;"KRK"
13:10;PESCARA (PSR);FR 3045;;"KRK"
13:25;LONDYN GATWICK (LGW);EZY 8822;;"KRK"
13:25;MONACHIUM (MUC);LH 1623;;"KRK"
13:30;WARSZAWA (WAW);LO 3920;;"KRK"
13:50;LONDYN HEATHROW (LHR);BA 873;;"KRK"
14:00;AMSTERDAM (AMS);KL 1326;;"KRK"
14:05;RYGA (RIX);FR 5428;;"KRK"
14:05;FRANKFURT (FRA);LH 1367;;"KRK"
14:10;BOLONIA (BLQ);W6 2059;;"KRK"
14:35;PODGORICA (TGD);FR 7933;;"KRK"
14:35;WIEDEŃ (VIE);OS 598;;"KRK"
14:55;WARSZAWA (WAW);LO 3906;;"KRK"
15:15;MEDIOLAN BERGAMO (BGY);FR 3536;;"KRK"
15:15;BUKARESZT BANEASA (BBU);W6 2057;;"KRK"
15:20;PARYŻ BEAUVAIS (BVA);FR 3699;;"KRK"
15:25;CATANIA (CTA);FR 2726;;"KRK"
15:35;LONDYN STANSTED (STN);FR 2363;;"KRK"
15:40;PARYŻ (CDG);EJU 4668;;"KRK"
15:40;EINDHOVEN (EIN);FR 042;;"KRK"
16:00;BIRMINGHAM (BHX);FR 1466;;"KRK"
16:05;BRUKSELA CHARLEROI (CRL);FR 4935;;"KRK"
16:25;RZYM CIAMPINO (CIA);FR 083;;"KRK"
16:35;WALENCJA (VLC);FR 2229;;"KRK"
16:35;SZCZECIN (SZZ);FR 6230;;"KRK"
16:40;MONACHIUM (MUC);EN 8343;;"KRK"
16:55;BARCELONA GIRONA (GRO);FR 8672;;"KRK"
17:00;DUBROWNIK (DBV);FR 5917;;"KRK"
17:00;PARYŻ ORLY (ORY);LO 337;;"KRK"
17:40;LAMEZIA TERME (SUF);FR 5145;;"KRK"
17:40;MARSYLIA (MRS);FR 5412;;"KRK"
17:55;AMSTERDAM (AMS);KL 1328;;"KRK"
18:05;BELFAST (BFS);FR 9557;;"KRK"
18:05;LONDYN GATWICK (LGW);W6 2009;;"KRK"
18:10;BOLONIA (BLQ);FR 3799;;"KRK"
18:25;DUBLIN (DUB);FR 2024;;"KRK"
18:25;WARSZAWA (WAW);LO 3924;;"KRK"
18:40;RZYM FIUMICINO (FCO);W6 2061;;"KRK"
18:45;ATENY (ATH);A3 869;;"KRK"
18:55;HELSINKI (HEL);AY 1164;;"KRK"
18:55;LYON (LYS);W6 2091;;"KRK"
19:00;SZTOKHOLM ARLANDA (ARN);FR 4636;;"KRK"
19:05;LONDYN STANSTED (STN);FR 2433;;"KRK"
19:20;EAST MIDLANDS (EMA);FR 1725;;"KRK"
19:20;FRANKFURT (FRA);LH 1369;;"KRK"
19:30;MEDIOLAN MALPENSA (MXP);W6 2067;;"KRK"
19:40;PALERMO (PMO);FR 6232;;"KRK"
19:40;ZURYCH (ZRH);LX 1375;;"KRK"
19:45;BARI (BRI);FR 2966;;"KRK"
19:55;BOURNEMOUTH (BOH);FR 5524;;"KRK"
20:15;SZTOKHOLM ARLANDA (ARN);FR 4627;;"KRK"
20:25;MEMMINGEN (FMM);FR 2174;;"KRK"
20:35;SALONIKI (SKG);FR 2777;;"KRK"
20:35;PIZA (PSA);FR 7932;;"KRK"
20:40;LONDYN LUTON (LTN);FR 1812;;"KRK"
20:50;MEDIOLAN BERGAMO (BGY);FR 889;;"KRK"
21:05;TRIEST (TRS);FR 6782;;"KRK"
21:20;BAZYLEA (BSL);EZS 1262;;"KRK"
21:30;BRISTOL (BRS);EZY 2938;;"KRK"
21:50;SHANNON (SNN);FR 3326;;"KRK"
22:05;TEL AVIV (TLV);LY 5120;;"KRK"
22:10;MANCHESTER (MAN);FR 2149;;"KRK"
22:45;DUBLIN (DUB);FR 1902;;"KRK"
23:10;MEDIOLAN MALPENSA (MXP);FR 4462;;"KRK"
23:50;DUBAJ (DXB);FZ 1786;;"KRK"
23:55;GDAŃSK (GDN);FR 237;;"KRK"