Data;Czas;Kierunek;Przewoznik;Rejs;Status;;Lotnisko wylotowe
2025-04-03;12:00;WARSZAWA;PLL LOT;LO3810;0;;"RZE"
2025-04-03;13:00;MONACHIUM;LUFTHANSA;LH1605;0;;"RZE"
2025-04-03;15:00;WARSZAWA;PLL LOT;LO3802;0;;"RZE"
2025-04-03;16:45;WARSZAWA;PLL LOT;LO3808;0;;"RZE"
2025-04-03;20:15;LONDYN (Luton);RYANAIR;FR3473;0;;"RZE"
2025-04-04;05:45;WARSZAWA;PLL LOT;LO3804;0;;"RZE"
2025-04-04;06:00;MONACHIUM;LUFTHANSA;LH1607;0;;"RZE"
2025-04-04;08:50;WARSZAWA;PLL LOT;LO3806;0;;"RZE"
2025-04-04;09:30;ALICANTE;RYANAIR;FR4163;0;;"RZE"
2025-04-04;12:00;WARSZAWA;PLL LOT;LO3810;0;;"RZE"
2025-04-04;12:05;MEDIOLAN;RYANAIR;FR1102;0;;"RZE"
2025-04-04;13:05;MONACHIUM;LUFTHANSA;LH1605;0;;"RZE"
2025-04-04;13:20;BRISTOL;RYANAIR;FR8225;0;;"RZE"
2025-04-04;15:00;WARSZAWA;PLL LOT;LO3802;0;;"RZE"
2025-04-04;16:45;WARSZAWA;PLL LOT;LO3808;0;;"RZE"
2025-04-04;19:25;LONDYN (Stansted);RYANAIR;FR2135;0;;"RZE"
2025-04-04;19:25;RZYM;WIZZ AIR;W46068;0;;"RZE"
2025-04-04;22:50;SHARM EL SHEIKH;SKYUP;U57553;0;;"RZE"
2025-04-05;05:45;WARSZAWA;PLL LOT;LO3804;0;;"RZE"
2025-04-05;06:00;MONACHIUM;LUFTHANSA;LH1607;0;;"RZE"
2025-04-05;08:50;WARSZAWA;PLL LOT;LO3806;0;;"RZE"
2025-04-05;09:00;MALTA;RYANAIR;FR3864;0;;"RZE"
2025-04-05;10:20;DUBLIN;RYANAIR;FR863;0;;"RZE"
2025-04-05;12:00;WARSZAWA;PLL LOT;LO3810;0;;"RZE"
2025-04-05;13:05;MONACHIUM;LUFTHANSA;LH1605;0;;"RZE"
2025-04-05;15:00;WARSZAWA;PLL LOT;LO3802;0;;"RZE"
2025-04-05;21:35;LONDYN (Stansted);RYANAIR;FR2135;0;;"RZE"
2025-04-05;22:40;ZADAR;RYANAIR;FR9399;0;;"RZE"
2025-04-05;22:50;HURGHADA;SKYUP;U58655;0;;"RZE"
2025-04-06;06:00;MONACHIUM;LUFTHANSA;LH1607;0;;"RZE"
2025-04-06;08:05;MEDIOLAN;RYANAIR;FR1102;0;;"RZE"
2025-04-06;08:50;WARSZAWA;PLL LOT;LO3806;0;;"RZE"
2025-04-06;10:40;LONDYN (Stansted);RYANAIR;FR2135;0;;"RZE"
2025-04-06;12:00;WARSZAWA;PLL LOT;LO3810;0;;"RZE"
2025-04-06;13:00;MONACHIUM;LUFTHANSA;LH1605;0;;"RZE"
2025-04-06;13:40;MEDIOLAN;WIZZ AIR;W46354;0;;"RZE"
2025-04-06;15:00;WARSZAWA;PLL LOT;LO3802;0;;"RZE"
2025-04-06;16:45;WARSZAWA;PLL LOT;LO3808;0;;"RZE"
2025-04-06;19:35;MANCHESTER;RYANAIR;FR3203;0;;"RZE"
2025-04-06;19:45;DUBLIN;RYANAIR;FR863;0;;"RZE"
2025-04-06;20:55;MARSA ALAM INTL;ENTER AIR;ENT4757;0;;"RZE"
2025-04-06;21:40;LONDYN (Luton);RYANAIR;FR3473;0;;"RZE"
2025-04-06;23:00;SHARM EL SHEIKH;SKYUP;U57551;0;;"RZE"
2025-04-07;05:45;WARSZAWA;PLL LOT;LO3804;0;;"RZE"
2025-04-07;06:10;MONACHIUM;LUFTHANSA;LH1607;0;;"RZE"
2025-04-07;08:50;WARSZAWA;PLL LOT;LO3806;0;;"RZE"
2025-04-07;10:00;BRISTOL;RYANAIR;FR8225;0;;"RZE"
2025-04-07;12:00;WARSZAWA;PLL LOT;LO3810;0;;"RZE"
2025-04-07;13:05;MONACHIUM;LUFTHANSA;LH1605;0;;"RZE"
2025-04-07;13:35;NOWY JORK (Newark);PLL LOT;LO17;0;;"RZE"
2025-04-07;13:55;LONDYN (Stansted);RYANAIR;FR2135;0;;"RZE"
2025-04-07;15:00;WARSZAWA;PLL LOT;LO3802;0;;"RZE"
2025-04-07;16:45;ALICANTE;RYANAIR;FR4163;0;;"RZE"
2025-04-07;16:45;WARSZAWA;PLL LOT;LO3808;0;;"RZE"
2025-04-07;21:15;RZYM;WIZZ AIR;W46068;0;;"RZE"
2025-04-08;05:45;WARSZAWA;PLL LOT;LO3804;0;;"RZE"
2025-04-08;06:00;MONACHIUM;LUFTHANSA;LH1607;0;;"RZE"
2025-04-08;08:50;WARSZAWA;PLL LOT;LO3806;0;;"RZE"
2025-04-08;12:00;WARSZAWA;PLL LOT;LO3810;0;;"RZE"
2025-04-08;12:20;LONDYN (Stansted);RYANAIR;FR212;0;;"RZE"
2025-04-08;13:00;MONACHIUM;LUFTHANSA;LH1605;0;;"RZE"
2025-04-08;15:00;WARSZAWA;PLL LOT;LO3802;0;;"RZE"
2025-04-08;16:25;LONDYN (Stansted);RYANAIR;FR2135;0;;"RZE"
2025-04-08;16:45;WARSZAWA;PLL LOT;LO3808;0;;"RZE"
2025-04-08;18:35;LONDYN (Luton);RYANAIR;FR3473;0;;"RZE"
2025-04-08;21:25;MANCHESTER;RYANAIR;FR3203;0;;"RZE"
2025-04-08;23:00;SHARM EL SHEIKH;SKYUP;U57551;0;;"RZE"
2025-04-09;05:45;WARSZAWA;PLL LOT;LO3804;0;;"RZE"
2025-04-09;06:00;MONACHIUM;LUFTHANSA;LH1607;0;;"RZE"
2025-04-09;08:50;WARSZAWA;PLL LOT;LO3806;0;;"RZE"
2025-04-09;10:50;DUBLIN;RYANAIR;FR863;0;;"RZE"
2025-04-09;12:00;WARSZAWA;PLL LOT;LO3810;0;;"RZE"
2025-04-09;13:00;MONACHIUM;LUFTHANSA;LH1605;0;;"RZE"
2025-04-09;15:00;WARSZAWA;PLL LOT;LO3802;0;;"RZE"
2025-04-09;16:45;WARSZAWA;PLL LOT;LO3808;0;;"RZE"
2025-04-09;16:50;MANCHESTER;RYANAIR;FR3203;0;;"RZE"
2025-04-09;17:00;MEDIOLAN;WIZZ AIR;W46354;0;;"RZE"
2025-04-09;18:20;ZADAR;RYANAIR;FR9399;0;;"RZE"
2025-04-09;21:15;MALTA;RYANAIR;FR3864;0;;"RZE"
2025-04-09;21:45;LONDYN (Stansted);RYANAIR;FR2135;0;;"RZE"
2025-04-09;22:30;BRISTOL;RYANAIR;FR8225;0;;"RZE"
2025-04-09;22:50;HURGHADA;SKYUP;U58655;0;;"RZE"
2025-04-10;05:45;WARSZAWA;PLL LOT;LO3804;0;;"RZE"
2025-04-10;06:00;MONACHIUM;LUFTHANSA;LH1607;0;;"RZE"
2025-04-10;08:50;WARSZAWA;PLL LOT;LO3806;0;;"RZE"
2025-04-10;09:15;MEDIOLAN;RYANAIR;FR1102;0;;"RZE"
2025-04-10;10:55;LONDYN (Stansted);RYANAIR;FR2135;0;;"RZE"
2025-04-10;12:00;WARSZAWA;PLL LOT;LO3810;0;;"RZE"
2025-04-10;13:05;MONACHIUM;LUFTHANSA;LH1605;0;;"RZE"
2025-04-10;15:00;WARSZAWA;PLL LOT;LO3802;0;;"RZE"
2025-04-10;16:45;WARSZAWA;PLL LOT;LO3808;0;;"RZE"
2025-04-10;20:15;LONDYN (Luton);RYANAIR;FR3473;0;;"RZE"
2025-04-10;23:00;SHARM EL SHEIKH;SKYUP;U57551;0;;"RZE"
2025-04-11;05:45;WARSZAWA;PLL LOT;LO3804;0;;"RZE"
2025-04-11;06:00;MONACHIUM;LUFTHANSA;LH1607;0;;"RZE"
2025-04-11;08:50;WARSZAWA;PLL LOT;LO3806;0;;"RZE"
2025-04-11;09:30;ALICANTE;RYANAIR;FR4163;0;;"RZE"
2025-04-11;12:00;WARSZAWA;PLL LOT;LO3810;0;;"RZE"
2025-04-11;12:05;MEDIOLAN;RYANAIR;FR1102;0;;"RZE"
2025-04-11;13:05;MONACHIUM;LUFTHANSA;LH1605;0;;"RZE"
2025-04-11;13:20;BRISTOL;RYANAIR;FR8225;0;;"RZE"
2025-04-11;15:00;WARSZAWA;PLL LOT;LO3802;0;;"RZE"
2025-04-11;16:45;WARSZAWA;PLL LOT;LO3808;0;;"RZE"
2025-04-11;19:25;LONDYN (Stansted);RYANAIR;FR2135;0;;"RZE"
2025-04-11;19:25;RZYM;WIZZ AIR;W46068;0;;"RZE"
2025-04-11;23:05;SHARM EL SHEIKH;SKYUP;U57553;0;;"RZE"
2025-04-12;05:45;WARSZAWA;PLL LOT;LO3804;0;;"RZE"
2025-04-12;06:00;MONACHIUM;LUFTHANSA;LH1607;0;;"RZE"
2025-04-12;08:50;WARSZAWA;PLL LOT;LO3806;0;;"RZE"
2025-04-12;09:00;MALTA;RYANAIR;FR3864;0;;"RZE"
2025-04-12;10:20;DUBLIN;RYANAIR;FR863;0;;"RZE"
2025-04-12;12:00;WARSZAWA;PLL LOT;LO3810;0;;"RZE"
2025-04-12;13:00;MONACHIUM;LUFTHANSA;LH1605;0;;"RZE"
2025-04-12;15:00;WARSZAWA;PLL LOT;LO3802;0;;"RZE"
2025-04-12;21:35;LONDYN (Stansted);RYANAIR;FR2135;0;;"RZE"
2025-04-12;22:40;ZADAR;RYANAIR;FR9399;0;;"RZE"
2025-04-13;06:00;MONACHIUM;LUFTHANSA;LH1607;0;;"RZE"
2025-04-13;08:05;MEDIOLAN;RYANAIR;FR1102;0;;"RZE"
2025-04-13;08:50;WARSZAWA;PLL LOT;LO3806;0;;"RZE"
2025-04-13;10:40;LONDYN (Stansted);RYANAIR;FR2135;0;;"RZE"
2025-04-13;12:00;WARSZAWA;PLL LOT;LO3810;0;;"RZE"
2025-04-13;13:05;MONACHIUM;LUFTHANSA;LH1605;0;;"RZE"
2025-04-13;13:40;MEDIOLAN;WIZZ AIR;W46354;0;;"RZE"
2025-04-13;15:00;WARSZAWA;PLL LOT;LO3802;0;;"RZE"
2025-04-13;16:45;WARSZAWA;PLL LOT;LO3808;0;;"RZE"
2025-04-13;19:35;MANCHESTER;RYANAIR;FR3203;0;;"RZE"
2025-04-13;19:45;DUBLIN;RYANAIR;FR863;0;;"RZE"
2025-04-13;20:45;MARSA ALAM INTL;ENTER AIR;ENT4757;0;;"RZE"
2025-04-13;21:40;LONDYN (Luton);RYANAIR;FR3473;0;;"RZE"
2025-04-13;23:05;HURGHADA;SKYUP;U58655;0;;"RZE"
2025-04-14;05:45;WARSZAWA;PLL LOT;LO3804;0;;"RZE"
2025-04-14;06:10;MONACHIUM;LUFTHANSA;LH1607;0;;"RZE"
2025-04-14;08:50;WARSZAWA;PLL LOT;LO3806;0;;"RZE"
2025-04-14;10:00;BRISTOL;RYANAIR;FR8225;0;;"RZE"
2025-04-14;11:30;ANTALIA;MGA;4M882;0;;"RZE"
2025-04-14;12:00;WARSZAWA;PLL LOT;LO3810;0;;"RZE"
2025-04-14;13:05;MONACHIUM;LUFTHANSA;LH1605;0;;"RZE"
2025-04-14;13:35;NOWY JORK (Newark);PLL LOT;LO17;0;;"RZE"
2025-04-14;13:55;LONDYN (Stansted);RYANAIR;FR2135;0;;"RZE"
2025-04-14;15:00;WARSZAWA;PLL LOT;LO3802;0;;"RZE"
2025-04-14;16:45;ALICANTE;RYANAIR;FR4163;0;;"RZE"
2025-04-14;16:45;WARSZAWA;PLL LOT;LO3808;0;;"RZE"
2025-04-14;21:15;RZYM;WIZZ AIR;W46068;0;;"RZE"
2025-04-14;23:05;SHARM EL SHEIKH;SKYUP;U57551;0;;"RZE"
2025-04-15;05:45;WARSZAWA;PLL LOT;LO3804;0;;"RZE"
2025-04-15;06:00;MONACHIUM;LUFTHANSA;LH1607;0;;"RZE"
2025-04-15;08:50;WARSZAWA;PLL LOT;LO3806;0;;"RZE"
2025-04-15;12:00;WARSZAWA;PLL LOT;LO3810;0;;"RZE"
2025-04-15;12:20;LONDYN (Stansted);RYANAIR;FR212;0;;"RZE"
2025-04-15;13:05;MONACHIUM;LUFTHANSA;LH1605;0;;"RZE"
2025-04-15;15:00;WARSZAWA;PLL LOT;LO3802;0;;"RZE"
2025-04-15;16:25;LONDYN (Stansted);RYANAIR;FR2135;0;;"RZE"
2025-04-15;16:45;WARSZAWA;PLL LOT;LO3808;0;;"RZE"
2025-04-15;18:35;LONDYN (Luton);RYANAIR;FR3473;0;;"RZE"
2025-04-15;21:25;MANCHESTER;RYANAIR;FR3203;0;;"RZE"
2025-04-16;05:45;WARSZAWA;PLL LOT;LO3804;0;;"RZE"
2025-04-16;06:00;MONACHIUM;LUFTHANSA;LH1607;0;;"RZE"
2025-04-16;08:50;WARSZAWA;PLL LOT;LO3806;0;;"RZE"
2025-04-16;09:15;MEDIOLAN;RYANAIR;FR1102;0;;"RZE"
2025-04-16;10:50;DUBLIN;RYANAIR;FR863;0;;"RZE"
2025-04-16;12:00;WARSZAWA;PLL LOT;LO3810;0;;"RZE"
2025-04-16;13:00;MONACHIUM;LUFTHANSA;LH1605;0;;"RZE"
2025-04-16;14:30;ANTALIA;MGA;4M882;0;;"RZE"
2025-04-16;15:00;WARSZAWA;PLL LOT;LO3802;0;;"RZE"
2025-04-16;16:45;WARSZAWA;PLL LOT;LO3808;0;;"RZE"
2025-04-16;16:50;MANCHESTER;RYANAIR;FR3203;0;;"RZE"
2025-04-16;17:00;MEDIOLAN;WIZZ AIR;W46354;0;;"RZE"
2025-04-16;18:20;ZADAR;RYANAIR;FR9399;0;;"RZE"
2025-04-16;21:15;MALTA;RYANAIR;FR3864;0;;"RZE"
2025-04-16;21:45;LONDYN (Stansted);RYANAIR;FR2135;0;;"RZE"
2025-04-16;22:30;BRISTOL;RYANAIR;FR8225;0;;"RZE"
2025-04-16;23:05;SHARM EL SHEIKH;SKYUP;U57551;0;;"RZE"
2025-04-17;05:45;WARSZAWA;PLL LOT;LO3804;0;;"RZE"
2025-04-17;06:00;MONACHIUM;LUFTHANSA;LH1607;0;;"RZE"
2025-04-17;08:50;WARSZAWA;PLL LOT;LO3806;0;;"RZE"
2025-04-17;09:15;MEDIOLAN;RYANAIR;FR1102;0;;"RZE"
2025-04-17;09:30;ALICANTE;RYANAIR;FR4163;0;;"RZE"
2025-04-17;10:55;LONDYN (Stansted);RYANAIR;FR2135;0;;"RZE"
2025-04-17;12:00;WARSZAWA;PLL LOT;LO3810;0;;"RZE"
2025-04-17;13:05;MONACHIUM;LUFTHANSA;LH1605;0;;"RZE"
2025-04-17;13:20;BRISTOL;RYANAIR;FR8225;0;;"RZE"
2025-04-17;14:30;ANTALIA;MGA;4M882;0;;"RZE"
2025-04-17;15:00;WARSZAWA;PLL LOT;LO3802;0;;"RZE"
2025-04-17;16:45;WARSZAWA;PLL LOT;LO3808;0;;"RZE"
2025-04-17;20:15;LONDYN (Luton);RYANAIR;FR3473;0;;"RZE"
2025-04-17;22:50;HURGHADA;SKYUP;U58655;0;;"RZE"
2025-04-18;05:45;WARSZAWA;PLL LOT;LO3804;0;;"RZE"
2025-04-18;06:00;MONACHIUM;LUFTHANSA;LH1607;0;;"RZE"
2025-04-18;09:00;MALTA;RYANAIR;FR3864;0;;"RZE"
2025-04-18;09:30;ALICANTE;RYANAIR;FR4163;0;;"RZE"
2025-04-18;10:20;DUBLIN;RYANAIR;FR863;0;;"RZE"
2025-04-18;12:00;WARSZAWA;PLL LOT;LO3810;0;;"RZE"
2025-04-18;12:05;MEDIOLAN;RYANAIR;FR1102;0;;"RZE"
2025-04-18;13:05;MONACHIUM;LUFTHANSA;LH1605;0;;"RZE"
2025-04-18;13:20;BRISTOL;RYANAIR;FR8225;0;;"RZE"
2025-04-18;15:00;WARSZAWA;PLL LOT;LO3802;0;;"RZE"
2025-04-18;16:45;WARSZAWA;PLL LOT;LO3808;0;;"RZE"
2025-04-18;19:25;LONDYN (Stansted);RYANAIR;FR2135;0;;"RZE"
2025-04-18;19:25;RZYM;WIZZ AIR;W46068;0;;"RZE"
2025-04-18;23:05;SHARM EL SHEIKH;SKYUP;U57551;0;;"RZE"
2025-04-18;23:05;SHARM EL SHEIKH;SKYUP;U57553;0;;"RZE"
2025-04-19;05:45;WARSZAWA;PLL LOT;LO3804;0;;"RZE"
2025-04-19;06:00;MONACHIUM;LUFTHANSA;LH1607;0;;"RZE"
2025-04-19;08:05;MEDIOLAN;RYANAIR;FR1102;0;;"RZE"
2025-04-19;08:50;WARSZAWA;PLL LOT;LO3806;0;;"RZE"
2025-04-19;09:00;MALTA;RYANAIR;FR3864;0;;"RZE"
2025-04-19;10:20;DUBLIN;RYANAIR;FR863;0;;"RZE"
2025-04-19;12:00;WARSZAWA;PLL LOT;LO3810;0;;"RZE"
2025-04-19;13:00;MONACHIUM;LUFTHANSA;LH1605;0;;"RZE"
2025-04-19;13:40;MEDIOLAN;WIZZ AIR;W46354;0;;"RZE"
2025-04-19;15:00;WARSZAWA;PLL LOT;LO3802;0;;"RZE"
2025-04-19;16:45;WARSZAWA;PLL LOT;LO3808;0;;"RZE"
2025-04-19;21:35;LONDYN (Stansted);RYANAIR;FR2135;0;;"RZE"
2025-04-19;22:40;ZADAR;RYANAIR;FR9399;0;;"RZE"
2025-04-20;06:00;MONACHIUM;LUFTHANSA;LH1607;0;;"RZE"
2025-04-20;08:05;MEDIOLAN;RYANAIR;FR1102;0;;"RZE"
2025-04-20;08:50;WARSZAWA;PLL LOT;LO3806;0;;"RZE"
2025-04-20;10:00;BRISTOL;RYANAIR;FR8225;0;;"RZE"
2025-04-20;10:40;LONDYN (Stansted);RYANAIR;FR2135;0;;"RZE"
2025-04-20;11:30;ANTALIA;MGA;4M882;0;;"RZE"
2025-04-20;12:00;WARSZAWA;PLL LOT;LO3810;0;;"RZE"
2025-04-20;13:00;MONACHIUM;LUFTHANSA;LH1605;0;;"RZE"
2025-04-20;13:35;NOWY JORK (Newark);PLL LOT;LO17;0;;"RZE"
2025-04-20;13:40;MEDIOLAN;WIZZ AIR;W46354;0;;"RZE"
2025-04-20;15:00;WARSZAWA;PLL LOT;LO3802;0;;"RZE"
2025-04-20;16:45;WARSZAWA;PLL LOT;LO3808;0;;"RZE"
2025-04-20;16:45;ALICANTE;RYANAIR;FR4163;0;;"RZE"
2025-04-20;19:35;MANCHESTER;RYANAIR;FR3203;0;;"RZE"
2025-04-20;19:45;DUBLIN;RYANAIR;FR863;0;;"RZE"
2025-04-20;20:45;MARSA ALAM INTL;ENTER AIR;ENT4757;0;;"RZE"
